,Unnamed: 0,Unnamed: 0.1,Site Num,Date Local,NO2 Units,NO2 MEAN
80,406,2321,1103,2013-04-13,Parts per billion,12.618182
384,710,4455,5005,2013-04-14,Parts per billion,4.363636
82,408,2337,1103,2013-04-15,Parts per billion,12.677273
83,409,2345,1103,2013-04-16,Parts per billion,10.464706
84,410,2353,1103,2013-04-17,Parts per billion,15.168182
85,411,2361,1103,2013-04-18,Parts per billion,26.461905
386,712,4461,5005,2013-04-19,Parts per billion,16.566667000000002
87,413,2377,1103,2013-04-20,Parts per billion,27.381818
88,414,2385,1103,2013-04-21,Parts per billion,17.754545
389,715,4473,5005,2013-04-22,Parts per billion,4.6227269999999985
390,716,4477,5005,2013-04-23,Parts per billion,3.242105
91,417,2409,1103,2013-04-24,Parts per billion,15.954545
92,418,2417,1103,2013-04-25,Parts per billion,11.52381
93,419,2425,1103,2013-04-26,Parts per billion,20.277273
94,420,2433,1103,2013-04-27,Parts per billion,19.986364
95,421,2441,1103,2013-04-28,Parts per billion,13.086364
96,422,2449,1103,2013-04-29,Parts per billion,17.4
97,423,2457,1103,2013-04-30,Parts per billion,12.818182
98,424,2465,1103,2013-05-01,Parts per billion,15.313636
99,425,2473,1103,2013-05-02,Parts per billion,31.552381
100,426,2481,1103,2013-05-03,Parts per billion,35.672727
101,427,2489,1103,2013-05-04,Parts per billion,10.590909
102,428,2497,1103,2013-05-05,Parts per billion,3.609091
103,429,2505,1103,2013-05-06,Parts per billion,12.372727
104,430,2513,1103,2013-05-07,Parts per billion,10.822727
105,431,2521,1103,2013-05-08,Parts per billion,10.818182
106,432,2529,1103,2013-05-09,Parts per billion,18.145455
107,433,2537,1103,2013-05-10,Parts per billion,19.490476
108,434,2545,1103,2013-05-11,Parts per billion,27.363636
109,435,2553,1103,2013-05-12,Parts per billion,28.759091
110,436,2561,1103,2013-05-13,Parts per billion,34.236364
111,437,2569,1103,2013-05-14,Parts per billion,16.681818
112,438,2577,1103,2013-05-15,Parts per billion,16.109524
113,439,2585,1103,2013-05-16,Parts per billion,12.818182
114,440,2593,1103,2013-05-17,Parts per billion,14.66
115,441,2601,1103,2013-05-18,Parts per billion,12.013636
116,442,2609,1103,2013-05-19,Parts per billion,12.986364
117,443,2617,1103,2013-05-20,Parts per billion,20.586364
118,444,2625,1103,2013-05-21,Parts per billion,16.272727
394,720,4493,5005,2013-05-22,Parts per billion,2.736364
395,721,4497,5005,2013-05-23,Parts per billion,3.418182
121,447,2649,1103,2013-05-24,Parts per billion,14.14
122,448,2657,1103,2013-05-25,Parts per billion,7.333333
398,724,4509,5005,2013-05-26,Parts per billion,2.513636
399,725,4513,5005,2013-05-27,Parts per billion,3.604545
400,726,4517,5005,2013-05-28,Parts per billion,4.518182
